rank,asin,bsr_books,trim_in,pages,price_usd,ratings,stars,pub_year,puzzles,sizes_in_description,levels_in_description,title
1,3985523940,47022,6x9,154,14.99,1,5.0,2026,,,master,Murdograms Crime Scene Investigation: Murder Mystery Nonogram Puzzles
2,B0H7MYF7K9,65299,6x9,151,11.99,15,5.0,2026,225,10x10;15x15;25x25;35x35,beginner;easy;medium;hard,Nonogram Puzzle Book (Travel-Size)
3,B08RR3641K,138054,7x10,110,9.99,30,5.0,2020,88,5x5;25x30,easy;hard,Nonograms for Everyone: 88 Nonogram Logic Puzzles
4,B08N928SR3,142734,8x10,316,29.99,290,4.7,2020,406,10x15;30x20;35x35;30x40,intermediate;challenging,The Big Book of Picross Hanjie Griddlers Nonograms: 4 volumes in 1
5,B0C2ST1BVH,151778,8.5x11,85,5.99,88,4.0,2023,80,20x20;50x50,easy;hard,Nonogram Puzzle Book: Easy To Hard From 20x20 to 50x50 Grids
6,B0H3KPYSRR,165993,8.5x11,91,10.99,25,5.0,2026,150,,beginner;easy;master,Nonogram Puzzle Book: From Beginner to Master With 150+ Creative Puzzles
7,B0HG9WCP7S,193600,8.5x11,219,13.99,0,,2026,320,,expert,Color Nonogram Puzzle Book: 320 Picture Logic Puzzles (COLOR)
8,B0BYRKLNKY,230659,8.5x11,282,19.99,56,4.6,2023,400,,easy;challenging,Nonogram Puzzle Book: 400 Challenging Puzzles
9,B0GWM4JH9M,232584,8.5x11,191,15.99,32,4.0,2026,300,,beginner;easy;master,Nonogram Puzzle Book: From Beginner to Master With 300+ Creative Nonograms
10,B0DV9C1S22,236581,7.5x8.7,128,8.99,6,3.6,2025,100,,easy;difficult,Picture Cross Around the World: 100+ Nonogram Logic Coloring Puzzles (COLOR)
11,1695476980,246778,6x9,116,10.00,159,4.6,2019,100,5x5,beginner,100 Nonogram Puzzles for Beginners
12,B0GZBPH7JQ,275945,8.5x11,141,11.99,5,4.8,2026,100,20x20;25x25;30x30,easy;medium;large print,Nonogram Puzzle Book for Adults and Seniors: 100 Large Print
13,B0HBQ64TCX,278624,8.5x11,194,9.99,0,,2026,150,50x50,expert;hard,Nonograms Challenge: Animals: 150 Expert Picture Logic Puzzles
14,B0CN879RF9,294315,5.75x7.5,128,7.99,4,4.4,2024,100,,large print,Christmas Puzzles - Holly Jolly Mixed Puzzles (mixed puzzle types)
15,9657679656,326814,8x10,46,10.00,55,4.5,2020,,,,Griddlers Logic Puzzles Advanced Vol. 1
16,B0GS5DJ946,340842,8x10,94,12.99,1,5.0,2026,100,10x10;35x45,easy;beginner,Nonograms Multicolor vol. 1 (COLOR)
17,B0D2XS5Z54,355861,8.5x11,120,9.99,6,4.3,2024,200,5x5..20x20,easy,200 Easy Nonogram Puzzle Book For Beginners
18,B0G2M6YJSR,400194,8.5x11,311,19.99,65,3.9,2025,450,,beginner;easy;master,Nonogram Puzzle Book: From Beginner to Master With 450+ Creative Puzzles
19,B0DJNDQBSW,400606,7.5x8.7,128,8.99,9,4.0,2025,100,,easy;difficult,Picture Cross Cats & Dogs: 100+ Nonogram Logic Coloring Puzzles (COLOR)
20,B0CN1PF6RN,401854,6x9,154,11.99,50,4.6,2023,209,10x15;15x15;25x15;30x20;30x30,,Picross Hanjie Griddlers Nonograms: 200++ ATARASHI Black and White
21,B0CM9WDPDJ,412704,8x10,79,7.49,35,4.5,2023,60,50x50,,Nonogram Puzzle Book for Adults: 60 Large Griddlers (Suphiss)
22,B0F1LBPPRD,428203,8x10,87,12.99,10,4.0,2025,100,15x15;40x50,easy;beginner,Nonograms Multicolor vol. 2 (COLOR)
23,B0D4R2S8PW,434109,8.5x11,119,9.99,21,4.0,2024,100,,expert;hard,Ultimate Nonogram Challenge: 100 Expert-Level Puzzles
24,B0DK4SDLFZ,448390,6x9,113,7.99,5,5.0,2024,101,5x5;10x10;15x15;20x20,easy;beginner,Nonograms for Beginners: 101 Small and Easy
25,1090286171,454702,8x10,61,8.99,124,4.2,2019,50,20x25;35x35,easy;medium;hard,Hanjie Puzzles: 50 fun picture-forming logic puzzles
26,B0GR5Z5Q1X,459127,8.5x11,106,9.99,2,4.0,2026,80,30x30;50x50,medium;hard,Nonogram Puzzle Book: 80 Brain-Training Nonogram Grids
27,B088B8DSZ5,471288,6x9,176,10.00,37,4.6,2020,101,15x15,easy,101 Easy Nonogram puzzles book 1
28,B0GCPHQW7X,489238,8x10,89,12.99,3,5.0,2025,100,10x10;35x40,easy;beginner,Nonograms Multicolor vol. 3 (COLOR)
29,B08WZCVD6S,490156,7x10,120,8.25,45,4.4,2021,52,,challenging,Hanjie Puzzles For Adults Volume II
30,B0GZD3WNNV,495512,8.5x11,119,9.99,0,,2026,100,35x35;50x50,master;challenging;intermediate,Master Nonogram Puzzle Book for Adults Volume 5
